IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708010005000700,17080100050007,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 7
1708060006000400,17080600060004,060,006,KABA WETAN,BABAKAN BOGOR,DUSUN 4
1708060004001000,17080600040010,060,004,KABA WETAN,TANGSI BARU,RT 10 RW 2
1708040013000200,17080400130002,040,013,TEBAT KARAI,TABA SALING,DUSUN 2
1708080006000400,17080800060004,080,006,MERIGI,SIMPANG KOTA BINGIN,DUSUN 4
1708070007000100,17080700070001,070,007,UJAN MAS,SURO BARU,DUSUN 1
1708010005000300,17080100050003,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 3
1708060011000200,17080600110002,060,011,KABA WETAN,SIDO MAKMUR,DUSUN 2
1708050016000300,17080500160003,050,016,KEPAHIANG,KELOBAK,DUSUN 3
1708050010000900,17080500100009,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 9 RW 3
1708020006000500,17080200060005,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 5
1708080003000900,17080800030009,080,003,MERIGI,DURIAN DEPUN,RT 9
1708080004000500,17080800040005,080,004,MERIGI,PULO GETO,DUSUN 5
1708080007000100,17080800070001,080,007,MERIGI,BATU AMPAR,DUSUN 1
1708010008000400,17080100080004,010,008,MUARA KEMUMU,WARUNG POJOK,DUSUN 4
1708020015000200,17080200150002,020,015,BERMANI ILIR,SOSOKAN CINTO MANDI,DUSUN 2
1708050007000300,17080500070003,050,007,KEPAHIANG,WESKUST,DUSUN 3
1708050005001400,17080500050014,050,005,KEPAHIANG,PASAR UJUNG,RT 14 RW 5
1708060007000300,17080600070003,060,007,KABA WETAN,BARAT WETAN,DUSUN 3
1708010005001100,17080100050011,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 11
1708030006000100,17080300060001,030,006,SEBERANG MUSI,TEMDAK,DUSUN 1
1708060015000100,17080600150001,060,015,KABA WETAN,SIDO REJO,DUSUN 1
1708050015000300,17080500150003,050,015,KEPAHIANG,PELANGKIAN,DUSUN 3
1708040011000100,17080400110001,040,011,TEBAT KARAI,TEBING PENYAMUN,DUSUN 1
1708030001000100,17080300010001,030,001,SEBERANG MUSI,BENUANG GALING,DUSUN 1
1708070002000300,17080700020003,070,002,UJAN MAS,UJAN MAS BAWAH,DUSUN 3
1708070009000100,17080700090001,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 1
1708060003000300,17080600030003,060,003,KABA WETAN,TANGSI DUREN,DUSUN 3
1708070003001200,17080700030012,070,003,UJAN MAS,UJAN MAS ATAS,RT 12 RW 3
1708070017000300,17080700170003,070,017,UJAN MAS,DASPETAH II,DUSUN 3
1708060001000100,17080600010001,060,001,KABA WETAN,SUKA SARI,DUSUN 1
1708060008200100,17080600082001,060,008,KABA WETAN,AIR SEMPIANG,HUTAN
1708050018000300,17080500180003,050,018,KEPAHIANG,SUKA MERINDU,DUSUN 3
1708040001000200,17080400010002,040,001,TEBAT KARAI,TERTIK,DUSUN 2
1708070001000800,17080700010008,070,001,UJAN MAS,DASPETAH,DUSUN 8
1708060004000900,17080600040009,060,004,KABA WETAN,TANGSI BARU,RT 9 RW 2
1708080003000700,17080800030007,080,003,MERIGI,DURIAN DEPUN,RT 7
1708070009000400,17080700090004,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 4
1708070008000700,17080700080007,070,008,UJAN MAS,PEKALONGAN,DUSUN 7
1708060003200100,17080600032001,060,003,KABA WETAN,TANGSI DUREN,HUTAN
1708040010200100,17080400102001,040,010,TEBAT KARAI,TAPAK GEDUNG,HUTAN
1708020014000200,17080200140002,020,014,BERMANI ILIR,BUKIT MENYAN,DUSUN 2
1708040012000300,17080400120003,040,012,TEBAT KARAI,SINAR GUNUNG,DUSUN 3
1708050011000900,17080500110009,050,011,KEPAHIANG,DUSUN KEPAHIANG,RT 9 RW 4
1708020001000100,17080200010001,020,001,BERMANI ILIR,KEMBANG SERI,DUSUN 1
1708010007000700,17080100070007,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 7
1708070016100100,17080700161001,070,016,UJAN MAS,AIR HITAM,KEBUN
1708050017000300,17080500170003,050,017,KEPAHIANG,PAGAR GUNUNG,DUSUN 3
1708010002000800,17080100020008,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 8
1708040013000100,17080400130001,040,013,TEBAT KARAI,TABA SALING,DUSUN 1
1708040003000200,17080400030002,040,003,TEBAT KARAI,PENANJUNG PANJANG,DUSUN 2
1708010004000100,17080100040001,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 1
1708080002000100,17080800020001,080,002,MERIGI,BUKIT BARISAN,DUSUN 1
1708010004000200,17080100040002,010,004,MUARA KEMUMU,SOSOKAN TABA,DUSUN 2
1708050005001100,17080500050011,050,005,KEPAHIANG,PASAR UJUNG,RT 11 RW 4
1708050009000400,17080500090004,050,009,KEPAHIANG,PENSIUNAN,RT 4 RW 1
1708050013000400,17080500130004,050,013,KEPAHIANG,KARANG ANYAR,DUSUN 4
1708070003000100,17080700030001,070,003,UJAN MAS,UJAN MAS ATAS,RT 1 RW 1
1708080004000400,17080800040004,080,004,MERIGI,PULO GETO,DUSUN 4
1708070007000500,17080700070005,070,007,UJAN MAS,SURO BARU,DUSUN 5
1708020004000500,17080200040005,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 5
1708060002000200,17080600020002,060,002,KABA WETAN,BUKIT SARI,DUSUN 2
1708060009000200,17080600090002,060,009,KABA WETAN,TUGU REJO,DUSUN 2
1708050020000300,17080500200003,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 3 RW 2
1708010005000900,17080100050009,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 9
1708050010000200,17080500100002,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 2 RW 1
1708030008000300,17080300080003,030,008,SEBERANG MUSI,CIREBON BARU,DUSUN 3
1708050019000900,17080500190009,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 9 RW 3
1708020006000200,17080200060002,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 2
1708050009000600,17080500090006,050,009,KEPAHIANG,PENSIUNAN,RT 6 RW 2
1708030012000300,17080300120003,030,012,SEBERANG MUSI,BAYUNG,DUSUN 3
1708070010000100,17080700100001,070,010,UJAN MAS,BUMI SARI,DUSUN 1
1708010005000200,17080100050002,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 2
1708030011000300,17080300110003,030,011,SEBERANG MUSI,TALANG BABATAN,DUSUN 3
1708020009000400,17080200090004,020,009,BERMANI ILIR,KEBAN AGUNG,RT 4 RW 2
1708070007000400,17080700070004,070,007,UJAN MAS,SURO BARU,DUSUN 4
1708040014200200,17080400142002,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,HUTAN
1708040014000500,17080400140005,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,DUSUN 5
1708060008000300,17080600080003,060,008,KABA WETAN,AIR SEMPIANG,DUSUN 3
1708050009001100,17080500090011,050,009,KEPAHIANG,PENSIUNAN,RT 11 RW 3
1708070015000300,17080700150003,070,015,UJAN MAS,MERANTI JAYA,DUSUN 3
1708040009000300,17080400090003,040,009,TEBAT KARAI,KARANG TENGAH,DUSUN 3
1708020008000500,17080200080005,020,008,BERMANI ILIR,CINTO MANDI,DUSUN 5
1708060005000100,17080600050001,060,005,KABA WETAN,PEMATANG DONOK,DUSUN 1
1708060013000100,17080600130001,060,013,KABA WETAN,MEKAR SARI,DUSUN 1
1708060013000200,17080600130002,060,013,KABA WETAN,MEKAR SARI,DUSUN 2
1708080003001200,17080800030012,080,003,MERIGI,DURIAN DEPUN,RT 12
1708060002200100,17080600022001,060,002,KABA WETAN,BUKIT SARI,HUTAN
1708060012200100,17080600122001,060,012,KABA WETAN,SUMBER SARI,HUTAN
1708050019000800,17080500190008,050,019,KEPAHIANG,KAMPUNG PENSIUNAN,RT 8 RW 3
1708040002100100,17080400021001,040,002,TEBAT KARAI,TABA AIR PAUH,PERKEBUNAN
1708080005000200,17080800050002,080,005,MERIGI,TABA MULAN,DUSUN 2
1708060001000200,17080600010002,060,001,KABA WETAN,SUKA SARI,DUSUN 2
1708080005000400,17080800050004,080,005,MERIGI,TABA MULAN,DUSUN 3
1708080002000400,17080800020004,080,002,MERIGI,BUKIT BARISAN,DUSUN 4
1708040002200200,17080400022002,040,002,TEBAT KARAI,TABA AIR PAUH,HUTAN
1708040003100100,17080400031001,040,003,TEBAT KARAI,PENANJUNG PANJANG,PERKEBUNAN
1708020005000400,17080200050004,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 3
1708020019000300,17080200190003,020,019,BERMANI ILIR,CINTA MANDI BARU,DUSUN 3
1708020019000100,17080200190001,020,019,BERMANI ILIR,CINTA MANDI BARU,DUSUN 1
1708020005000200,17080200050002,020,005,BERMANI ILIR,KOTA AGUNG,DUSUN 2
1708020004000100,17080200040001,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 1
1708070010000400,17080700100004,070,010,UJAN MAS,BUMI SARI,DUSUN 4
1708040014100100,17080400141001,040,014,TEBAT KARAI,PENANJUNG PANJANG ATAS,PERKEBUNAN
1708060015000200,17080600150002,060,015,KABA WETAN,SIDO REJO,DUSUN 2
1708030011000400,17080300110004,030,011,SEBERANG MUSI,TALANG BABATAN,DUSUN 4
1708050008000100,17080500080001,050,008,KEPAHIANG,KAMPUNG BOGOR,DUSUN 1
1708050008000300,17080500080003,050,008,KEPAHIANG,KAMPUNG BOGOR,DUSUN 3
1708070015000100,17080700150001,070,015,UJAN MAS,MERANTI JAYA,DUSUN 1
1708010007000600,17080100070006,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 6
